index,campaign,cell,target,actors,capacity_hint,growth_pages,live_percent,hole_pattern,sweep_mode,touch_reserved,instrument_allocations,cold_ns_per_actor,cold_iqr_ns,spawn_ns_per_actor,growth_p95_ns,growth_p99_ns,max_growth_ns,hot_ns_per_update,hot_iqr_ns,reserved_capacity,unused_state_bytes,peak_rss_bytes,allocation_calls,allocated_bytes
0,allocation diagnostic,diagnostic-native-hint-050,native,65536,32768,16,100,packed,live-bitmap,false,true,16.332626,0.860847,14.404938,5125.000,5875.000,5875.000,1.114368,0.024636,65536,0,8306688.000,265,5550912
1,allocation diagnostic,diagnostic-native-hint-100,native,65536,65536,16,100,packed,live-bitmap,false,true,16.303375,2.185188,13.081238,0.000,0.000,0.000,1.143423,0.055853,65536,0,8290304.000,265,5550912
2,allocation diagnostic,diagnostic-native-hint-200,native,65536,131072,16,100,packed,live-bitmap,false,true,22.476212,1.882866,15.293762,0.000,0.000,0.000,1.168633,0.167338,131072,4194304,12861440.000,523,10053696
3,allocation diagnostic,diagnostic-native-pages-01,native,65536,49152,1,100,packed,live-bitmap,false,true,17.185226,2.351128,13.250992,1083.000,1917.000,3583.000,1.170763,0.011158,65536,0,8470528.000,4109,5750592
4,allocation diagnostic,diagnostic-native-pages-16,native,65536,49152,16,100,packed,live-bitmap,false,true,16.925186,1.711853,14.345810,9375.000,9375.000,9375.000,1.119486,0.085862,65536,0,8290304.000,265,5550912
5,allocation diagnostic,diagnostic-native-pages-64,native,65536,49152,64,100,packed,live-bitmap,false,true,16.155243,1.221970,13.617203,19375.000,19375.000,19375.000,1.133474,0.024382,65536,0,8290304.000,71,5540928
6,allocation diagnostic,diagnostic-wasm-hint-050,wasm,65536,32768,16,100,packed,live-bitmap,false,true,8.239105,0.747368,8.194611,1916.000,7000.000,7000.000,1.253764,0.021727,65536,0,13828096.000,0,0
7,allocation diagnostic,diagnostic-wasm-hint-100,wasm,65536,65536,16,100,packed,live-bitmap,false,true,9.133652,1.103081,9.104416,0.000,0.000,0.000,1.253351,0.045395,65536,0,13811712.000,0,0
8,allocation diagnostic,diagnostic-wasm-hint-200,wasm,65536,131072,16,100,packed,live-bitmap,false,true,8.027390,0.181206,7.984161,0.000,0.000,0.000,1.286983,0.087833,131072,4194304,13795328.000,0,0
