index,campaign,cell,target,actors,capacity_hint,growth_pages,live_percent,hole_pattern,sweep_mode,touch_reserved,instrument_allocations,cold_ns_per_actor,cold_iqr_ns,spawn_ns_per_actor,growth_p95_ns,growth_p99_ns,max_growth_ns,hot_ns_per_update,hot_iqr_ns,reserved_capacity,unused_state_bytes,peak_rss_bytes,allocation_calls,allocated_bytes
0,forced page-touch diagnostic,diagnostic-native-hint-050,native,65536,32768,16,100,packed,live-bitmap,true,false,16.305923,2.179466,14.622375,5292.000,8583.000,8583.000,1.105022,0.019757,65536,0,8290304.000,,
1,forced page-touch diagnostic,diagnostic-native-hint-100,native,65536,65536,16,100,packed,live-bitmap,true,false,15.405014,0.737183,12.149811,0.000,0.000,0.000,1.123238,0.021505,65536,0,8273920.000,,
2,forced page-touch diagnostic,diagnostic-native-hint-200,native,65536,131072,16,100,packed,live-bitmap,true,false,21.165207,3.914200,14.295578,0.000,0.000,0.000,1.132679,0.013892,131072,4194304,12877824.000,,
3,forced page-touch diagnostic,diagnostic-native-pages-01,native,65536,49152,1,100,packed,live-bitmap,true,false,17.044067,2.306305,13.048172,1041.000,1458.000,2583.000,1.158842,0.010077,65536,0,8470528.000,,
4,forced page-touch diagnostic,diagnostic-native-pages-16,native,65536,49152,16,100,packed,live-bitmap,true,false,18.938065,0.931740,16.280487,5417.000,5417.000,5417.000,1.116308,0.009839,65536,0,8273920.000,,
5,forced page-touch diagnostic,diagnostic-native-pages-64,native,65536,49152,64,100,packed,live-bitmap,true,false,15.113831,1.704857,12.540176,15083.000,15083.000,15083.000,1.104704,0.042168,65536,0,8306688.000,,
6,forced page-touch diagnostic,diagnostic-wasm-hint-050,wasm,65536,32768,16,100,packed,live-bitmap,true,false,7.963196,0.090919,6.233856,4333.000,4458.000,4458.000,1.238728,0.016546,65536,0,13844480.000,,
7,forced page-touch diagnostic,diagnostic-wasm-hint-100,wasm,65536,65536,16,100,packed,live-bitmap,true,false,7.266998,0.200912,4.248932,0.000,0.000,0.000,1.289240,0.051896,65536,0,13844480.000,,
8,forced page-touch diagnostic,diagnostic-wasm-hint-200,wasm,65536,131072,16,100,packed,live-bitmap,true,false,12.091324,0.949219,4.299789,0.000,0.000,0.000,1.417382,0.113105,131072,4194304,18006016.000,,
